SELECT  * FROM m_users LEFT JOIN m_profiles USING(id);
+----+-----------------+---------------------+----------+---------------------+---------------------+------------+----------------+------+------------------+-------+------+---------------------+---------------------+
| id | user_name       | mail_address        | password | created             | modified            | user_name  | user_kana      | age  | profile          | place | sex  | created             | modified            |
+----+-----------------+---------------------+----------+---------------------+---------------------+------------+----------------+------+------------------+-------+------+---------------------+---------------------+
|  1 | Yamada Taro     | yamda@gmail.com     | 123123   | 2023-03-04 23:59:50 | 2023-03-04 23:59:50 | 山田　太郎       | ヤマダタロウ           |   21 | プロフィール１            |    20 |    1 | 2023-03-05 00:02:01 | 2023-03-05 00:02:01 |
|  2 | Suzuki Ichiro   | suzuki@gmail.com    | 123123   | 2023-03-04 23:59:50 | 2023-03-04 23:59:50 | 鈴木　一朗        | スズキイチロウ         |   33 | プロフィール２            |    30 |    1 | 2023-03-05 00:02:01 | 2023-03-05 00:02:01 |
|  3 | Sato   Jiro     | sato@gmail.com      | 123123   | 2023-03-04 23:59:50 | 2023-03-04 23:59:50 | 佐藤　治郎         | サトウジロウ          |   23 | プロフィール３            |    35 |    1 | 2023-03-05 00:02:01 | 2023-03-05 00:02:01 |
|  4 | Igarasi dai     | Igarasi@gmail.com   | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | 五十嵐　大        | イガラシダイ          |   28 | プロフィール４            |     4 |    1 | 2023-03-05 00:41:01 | 2023-03-05 00:41:01 |
|  5 | Ito yuki        | Ito@gmail.com       | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | 伊藤　勇気       | イトウユウキ          |   24 | プロフィール５            |     5 |    1 | 2023-03-05 00:41:01 | 2023-03-05 00:41:01 |
|  6 | Yamamoto yuki   | Yamamoto@gmail.com  | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | 山本　優紀      | ヤマモトユウキ           |   26 | プロフィール６            |     6 |    1 | 2023-03-05 00:41:01 | 2023-03-05 00:41:01 |
|  7 | Yamaguchi kenta | Yamaguchi@gmail.com | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | 山口　健太         | ヤマグチケンタ          |   32 | プロフィール７            |     7 |    1 | 2023-03-05 00:41:01 | 2023-03-05 00:41:01 |
|  8 | Omura naoto     | Omura@gmail.com     | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | 大村　直人       | オオムラナオト          |   38 | プロフィール８            |     8 |    1 | 2023-03-05 00:41:01 | 2023-03-05 00:41:01 |
|  9 | Yosida yuto     | Yosida@gmail.com    | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | 吉田　勇人      | ヨシダユウト           |   36 | プロフィール９            |     9 |    1 | 2023-03-05 00:41:01 | 2023-03-05 00:41:01 |
| 10 | Imamura jiro    | Imamura@gmail.com   | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | 今村　次郎         | イマムラジロウ           |   37 | プロフィール１０           |    10 |    1 | 2023-03-05 00:41:01 | 2023-03-05 00:41:01 |
| 11 | Sakurai naoki   | Sakurai@gmail.com   | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | NULL       | NULL           | NULL | NULL             |  NULL | NULL | NULL                | NULL                |
| 12 | Tojo riku       | Tojo@gmail.com      | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | NULL       | NULL           | NULL | NULL             |  NULL | NULL | NULL                | NULL                |
| 13 | Sasaki daiki    | Sasaki@gmail.com    | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | NULL       | NULL           | NULL | NULL             |  NULL | NULL | NULL                | NULL                |
| 14 | Matsumura tetuo | Matsumura@gmail.com | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | NULL       | NULL           | NULL | NULL             |  NULL | NULL | NULL                | NULL                |
| 15 | Konishi masaya  | Konishi@gmail.com   | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | NULL       | NULL           | NULL | NULL             |  NULL | NULL | NULL                | NULL                |
| 16 | Uchida kazuma   | Uchida@gmail.com    | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | NULL       | NULL           | NULL | NULL             |  NULL | NULL | NULL                | NULL                |
| 17 | Hayashi shuhei  | Hayashi@gmail.com   | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | NULL       | NULL           | NULL | NULL             |  NULL | NULL | NULL                | NULL                |
| 18 | Ono yuta        | Ono@gmail.com       | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | NULL       | NULL           | NULL | NULL             |  NULL | NULL | NULL                | NULL                |
| 19 | Katsura takuya  | Katsura@gmail.com   | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | NULL       | NULL           | NULL | NULL             |  NULL | NULL | NULL                | NULL                |
| 20 | Takeuchi kazuya | Takeuchi@gmail.com  | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | NULL       | NULL           | NULL | NULL             |  NULL | NULL | NULL                | NULL                |
| 21 | Ikeda ren       | Ikeda@gmail.com     | 123123   | 2023-03-05 00:40:01 | 2023-03-05 00:40:01 | NULL       | NULL           | NULL | NULL             |  NULL | NULL | NULL                | NULL                |
+----+-----------------+---------------------+----------+---------------------+---------------------+------------+----------------+------+------------------+-------+------+---------------------+---------------------+
